CODIGO,Countries
308,Afghanistan
518,Albania
563,Germany
525,Andorra
140,Angola
242,Anguila
240,Antigua and Barbuda
247,Netherlands Antilles
302,Saudi Arabia
127,Algeria
224,Argentina
540,Armenia
243,Aruba
406,Australia
509,Austria
541,Azerbaijan
207,Bahamas
313,Bahrain
321,Bangladesh
204,Barbados
542,Belarus
420,Belau
514,Belgium
236,Belize
150,Benin
244,Bermudas
221,Bolivia
543,Bosnia and Herzegovina
113,Botswana
220,Brazil
344,Brunei
527,Bulgaria
161,Burkina Faso
141,Burundi
318,Bhutan
129,Cabo Verde
315,Cambodia
149,Cameroon
226,Canada
130,Chad
997,Chile
336,China
305,Cyprus
202,Colombia
118,Comoros
144,Republic of the Congo
334,North Korea
333,South Korea
107,Cote d'Ivoire
211,Costa Rica
547,Croatia
209,Cuba
507,Denmark
155,Djibouti
231,Dominica
218,Ecuador
124,Egypt
213,El Salvador
341,United Arab Emirates (UAE)
163,Eritrea
548,Slovenia
517,Spain
225,United States of America (USA)
549,Estonia
139,Ethiopia
401,Fiji
335,Philippines
512,Finland
505,France
145,Gabon
102,Gambia
550,Georgia
108,Ghana
565,Gibraltar
232,Grenada
520,Greece
253,Greenland
425,Guam
215,Guatemala
566,Guernsey
104,Guinea
103,Guinea Bissau
147,Equatorial Guinea
217,Guyana
208,Haiti
515,Netherlands
214,Honduras
342,Hong Kong
530,Hungary
317,India
328,Indonesia
307,Iraq
309,Iran
506,Ireland
516,Iceland
246,Cayman Islands
427,Cook Islands
567,Man Islands
327,Maldives
424,Mariana Islands
164,Marshall Islands
418,Solomon Islands
403,Tonga
245,British Virgin Islands
249,United States Virgin Islands
306,Israel
504,Italy
205,Jamaica
331,Japan
568,Jersey
301,Jordan
551,Kazakhstan
137,Kenya
552,Kyrgyzstan
416,Kiribati
303,Kuwait
316,Laos
114,Lesotho
553,Latvia
311,Lebanon
106,Liberia
125,Libya
534,Liechtenstein
554,Lithuania
532,Luxembourg
345,Macao
555,Macedonia (FYROM)
120,Madagascar
329,Malaysia
115,Malawi
133,Mali
523,Malta
128,Morocco
250,Martinique
119,Mauritius
134,Mauritania
216,Mexico
417,Micronesia
556,Moldova
535,Monaco
337,Mongolia
252,Montserrat
561,Montenegro
121,Mozambique
326,Myanmar (Burma)
159,Namibia
402,Nauru
320,Nepal
212,Nicaragua
131,Niger
111,Nigeria
421,Niue
513,Norway
423,New Caledonia
405,New Zealand
304,Oman
324,Pakistan
210,Panama
412,Papua New Guinea
222,Paraguay
219,Peru
422,French polynesia
528,Poland
501,Portugal
251,Puerto Rico
312,Qatar
510,United Kingdom (UK)
148,Central African Republic (CAR)
544,Czech Republic
546,Serbia
346,Yemen
143,Democratic Republic of the Congo
206,Dominican Republic
545,Slovakia
519,Romania
562,Russia
142,Rwanda
165,SAHARAVI
241,Saint Kitts and Nevis
404,Samoa
536,San Marino
234,Saint Vincent and the Grenadines
233,Saint Lucia
524,Vatican City 
146,Sao Tome and Principe
101,Senegal
156,Seychelles
105,Sierra Leone
332,Singapore
310,Syria
138,Somalia
314,Sri Lanka
112,South Africa
123,Sudan
160,South Sudan
511,Sweden
508,Switzerland
235,Suriname
122,Swaziland
557,Tajikistan
330,Taiwan
135,Tanzania
319,Thailand
426,Timor-Leste
109,Togo
203,Trinidad and Tobago
126,Tunisia
248,TURCAS Y CAICOS
558,Turkmenistan
522,Turkey
419,Tuvalu
559,Ukraine
136,Uganda
223,Uruguay
560,Uzbekistan
415,Vanuatu
201,Venezuela
325,Vietnam
117,Zambia
116,Zimbabwe
